character_id,name,real_name,publisher_id,alignment,first_appeared,description
29,Megaclaw,,18,Hero,1996-07-04,"Master of the arcane arts, wielder of forbidden knowledge."
30,Blazewing,Karen Miller,13,Neutral,1952-10-08,A mercenary with a strict personal code of honor.
31,Ultrahunter,Joseph Taylor,14,Villain,2003-07-16,"Master of the arcane arts, wielder of forbidden knowledge."
32,Titanfist,Robert Johnson,19,Antihero,1943-06-21,The last survivor of a destroyed civilization seeking justice.
33,Hyperwoman,Thomas Thompson,6,Hero,1983-07-24,A former soldier seeking redemption through heroic deeds.
34,Steelhawk,Patricia Jackson,4,Neutral,1989-02-09,"Gifted with powers beyond comprehension, burdened by their weight."
35,Plasmawave,David White,19,Villain,1966-05-20,"Once a villain, now fighting for the side of good."
36,Shadowstorm,Richard Jones,10,Villain,2021-05-07,A former soldier seeking redemption through heroic deeds.
37,Ultraclaw,Charles Brown,3,Villain,1983-05-21,"Once a villain, now fighting for the side of good."
38,Ironforce,,8,Hero,1952-02-26,"Raised in secret, now unleashed upon a world unprepared."
39,Alphashield,Thomas Smith,18,Hero,1997-07-07,A former soldier seeking redemption through heroic deeds.
40,Neoblade,John Wilson,10,Villain,2002-05-19,The last survivor of a destroyed civilization seeking justice.
41,Shadowstrike,Michael Johnson,3,Villain,2012-05-28,"Once a villain, now fighting for the side of good."
42,Hyperman,John Wilson,6,Antihero,1987-06-30,A mercenary with a strict personal code of honor.
43,Alphaman,John Young,2,Antihero,1990-04-05,"Master of the arcane arts, wielder of forbidden knowledge."
44,Ironmind,Barbara Thomas,2,Antihero,1956-11-05,"Gifted with powers beyond comprehension, burdened by their weight."
45,Neoforce,,14,Neutral,2005-03-28,A cosmic entity whose motives remain ambiguous to all.
46,Ultrawing,William White,8,Hero,2008-08-21,A former soldier seeking redemption through heroic deeds.
47,Frostwoman,,8,Hero,2020-05-25,"Raised in secret, now unleashed upon a world unprepared."
48,Solarshield,,8,Hero,1997-03-19,"Gifted with powers beyond comprehension, burdened by their weight."
49,Froststorm,David Wilson,12,Villain,1973-11-09,"Master of the arcane arts, wielder of forbidden knowledge."
50,Thunderman,Michael Garcia,19,Neutral,1961-10-25,A vigilante who operates outside the law to protect the innocent.
51,Neowave,William White,20,Neutral,1948-05-17,A mercenary with a strict personal code of honor.
52,Plasmastar,Jessica Smith,17,Neutral,1986-04-22,"Gifted with powers beyond comprehension, burdened by their weight."
53,Megastorm,Sarah Taylor,17,Hero,1974-08-22,The last survivor of a destroyed civilization seeking justice.
54,Frostshield,Robert White,13,Villain,2018-12-30,A cosmic entity whose motives remain ambiguous to all.
55,Quantumveil,Nancy Smith,10,Hero,1976-07-26,"Driven by tragedy, defined by an unbreakable will."
56,Quantumstorm,Joseph Miller,17,Villain,2018-11-06,A cosmic entity whose motives remain ambiguous to all.
57,Megashield,Lisa Anderson,3,Antihero,2005-05-22,"Gifted with powers beyond comprehension, burdened by their weight."
58,Neonfire,,5,Hero,1959-12-20,"Raised in secret, now unleashed upon a world unprepared."
59,Quantumhawk,Charles Miller,13,Villain,1959-11-21,A cosmic entity whose motives remain ambiguous to all.
60,Ultrablade,,8,Hero,2023-12-11,"Master of the arcane arts, wielder of forbidden knowledge."
61,Voltwoman,Sarah Harris,5,Antihero,1997-11-22,"Master of the arcane arts, wielder of forbidden knowledge."
62,Alphawave,Joseph Lewis,17,Villain,2019-05-11,"Master of the arcane arts, wielder of forbidden knowledge."
63,Voltwing,Karen Harris,9,Antihero,2013-05-07,"Once a villain, now fighting for the side of good."
64,Omegabolt,Michael Harris,3,Antihero,1959-01-14,"Once a villain, now fighting for the side of good."
65,Thunderstorm,,3,Hero,1958-09-30,A mercenary with a strict personal code of honor.
66,Ironstar,Jessica Anderson,18,Villain,1943-08-03,"Gifted with powers beyond comprehension, burdened by their weight."
67,Acidhunter,,19,Neutral,1939-10-03,"Driven by tragedy, defined by an unbreakable will."
68,Frostbolt,Susan Taylor,13,Antihero,2023-07-16,A mercenary with a strict personal code of honor.
69,Alphalance,,8,Villain,1962-06-27,A mercenary with a strict personal code of honor.
70,Frostwing,,5,Neutral,1985-12-02,A vigilante who operates outside the law to protect the innocent.
71,Frostveil,James Williams,14,Hero,1979-06-03,A cosmic entity whose motives remain ambiguous to all.
72,Hyperstrike,Robert Harris,11,Hero,2016-12-01,A mercenary with a strict personal code of honor.
73,Voidmind,David Martin,1,Antihero,1942-09-03,The last survivor of a destroyed civilization seeking justice.
74,Blazehawk,,2,Antihero,2023-03-12,"Gifted with powers beyond comprehension, burdened by their weight."
75,Shadowman,Patricia Jones,16,Villain,1988-08-06,"Gifted with powers beyond comprehension, burdened by their weight."
76,Voltstrike,,6,Villain,2005-02-06,A former soldier seeking redemption through heroic deeds.
77,Steelshield,James Taylor,19,Villain,2023-12-18,A mercenary with a strict personal code of honor.
78,Froststar,Patricia Brown,10,Antihero,1991-11-13,A former soldier seeking redemption through heroic deeds.
79,Plasmawoman,Jessica Thomas,3,Villain,1968-08-12,A vigilante who operates outside the law to protect the innocent.
80,Acidbolt,Susan Harris,5,Villain,2003-11-01,"Master of the arcane arts, wielder of forbidden knowledge."
81,Voidwave,,18,Antihero,1979-09-15,A mercenary with a strict personal code of honor.
82,Plasmastrike,Patricia Williams,9,Antihero,1959-11-17,"Raised in secret, now unleashed upon a world unprepared."
83,Ultrabolt,,6,Villain,1969-10-31,"Once a villain, now fighting for the side of good."
84,Thunderstrike,,9,Villain,1984-05-07,"Gifted with powers beyond comprehension, burdened by their weight."
85,Megafire,Karen Young,8,Villain,1995-12-12,"Raised in secret, now unleashed upon a world unprepared."
86,Voltman,Patricia Jackson,8,Hero,1990-03-05,The last survivor of a destroyed civilization seeking justice.
87,Titanlance,Jessica Young,11,Hero,1978-09-16,"Once a villain, now fighting for the side of good."
88,Neonstrike,Robert Anderson,4,Antihero,2023-04-23,A cosmic entity whose motives remain ambiguous to all.
89,Shadowstar,Michael Robinson,17,Villain,1947-01-08,"Gifted with powers beyond comprehension, burdened by their weight."
90,Solarwing,Nancy Jones,9,Hero,1942-11-22,"Master of the arcane arts, wielder of forbidden knowledge."
91,Neonfist,Karen Brown,1,Villain,1980-02-11,"Raised in secret, now unleashed upon a world unprepared."
92,Voltstorm,Maria Wilson,16,Hero,1943-11-12,A mercenary with a strict personal code of honor.
93,Titanhawk,Maria Jones,5,Antihero,2023-02-24,"Once a villain, now fighting for the side of good."
94,Neolance,,20,Villain,1993-06-25,"Gifted with powers beyond comprehension, burdened by their weight."
95,Omegahunter,Joseph Taylor,19,Neutral,1965-05-25,"Driven by tragedy, defined by an unbreakable will."
96,Quantumwoman,Sarah Miller,7,Hero,1945-04-14,A cosmic entity whose motives remain ambiguous to all.
97,Alphahawk,Jessica Harris,20,Villain,1940-12-05,"Gifted with powers beyond comprehension, burdened by their weight."
98,Neonshield,Joseph Williams,8,Neutral,2008-09-05,"Driven by tragedy, defined by an unbreakable will."
99,Shadowmind,Patricia Jones,9,Antihero,1944-05-28,A vigilante who operates outside the law to protect the innocent.
100,Neonclaw,Barbara Jackson,9,Villain,1982-04-20,"Raised in secret, now unleashed upon a world unprepared."
101,Megawave,Jessica Anderson,20,Hero,1946-03-12,"Gifted with powers beyond comprehension, burdened by their weight."
102,Plasmaveil,,9,Villain,2006-06-18,A cosmic entity whose motives remain ambiguous to all.
103,Titanarrow,Michael Garcia,19,Villain,2011-01-19,"Raised in secret, now unleashed upon a world unprepared."
104,Megabolt,William Anderson,4,Antihero,1967-08-04,A mercenary with a strict personal code of honor.
105,Titanshield,Richard Young,2,Villain,1966-03-21,"Once a villain, now fighting for the side of good."
106,Frostarrow,,1,Villain,1986-09-05,"Raised in secret, now unleashed upon a world unprepared."
107,Acidwoman,Susan Lewis,16,Villain,2006-03-08,A vigilante who operates outside the law to protect the innocent.
108,Alphafist,,15,Antihero,1981-06-27,A former soldier seeking redemption through heroic deeds.
109,Ultrawave,,6,Hero,1939-03-25,"Master of the arcane arts, wielder of forbidden knowledge."
110,Acidhawk,Sarah Harris,4,Villain,1951-10-25,"Raised in secret, now unleashed upon a world unprepared."
111,Neonarrow,Jessica Martin,16,Hero,1987-06-16,A cosmic entity whose motives remain ambiguous to all.
112,Quantumarrow,John Williams,9,Antihero,2014-08-27,A mercenary with a strict personal code of honor.
113,Thunderarrow,James Taylor,10,Antihero,1990-01-10,"Raised in secret, now unleashed upon a world unprepared."
114,Ironclaw,Susan Anderson,18,Antihero,1971-11-04,"Raised in secret, now unleashed upon a world unprepared."
115,Thunderstar,,8,Villain,1958-12-15,A mercenary with a strict personal code of honor.
116,Hyperstorm,Richard Jackson,5,Villain,1941-04-28,A cosmic entity whose motives remain ambiguous to all.
117,Omegaveil,Sarah Harris,4,Villain,1978-12-29,A vigilante who operates outside the law to protect the innocent.
118,Ironhawk,Michael Anderson,20,Villain,1996-04-19,A former soldier seeking redemption through heroic deeds.
119,Thunderlance,William Martin,18,Hero,1944-02-21,"Gifted with powers beyond comprehension, burdened by their weight."
120,Megamind,,4,Villain,2000-04-06,"Once a villain, now fighting for the side of good."
121,Ultrawoman,Maria Taylor,12,Hero,1951-01-23,"Gifted with powers beyond comprehension, burdened by their weight."
122,Omegamind,Linda Garcia,6,Hero,2016-02-16,A mercenary with a strict personal code of honor.
123,Quantumfire,Charles Jones,8,Villain,1960-10-14,"Raised in secret, now unleashed upon a world unprepared."
124,Voidman,,15,Neutral,1998-10-16,"Master of the arcane arts, wielder of forbidden knowledge."
125,Plasmashield,Jessica Wilson,15,Antihero,1955-11-15,A mercenary with a strict personal code of honor.
126,Titanblade,Charles Thomas,19,Hero,2000-09-25,"Once a villain, now fighting for the side of good."
127,Quantumbolt,,10,Antihero,1958-08-24,"Driven by tragedy, defined by an unbreakable will."
128,Solarfire,Lisa Wilson,5,Villain,2019-01-18,A vigilante who operates outside the law to protect the innocent.
129,Hyperveil,John Williams,10,Hero,1975-04-12,A cosmic entity whose motives remain ambiguous to all.
130,Shadowfist,,12,Villain,2019-12-15,"Once a villain, now fighting for the side of good."
131,Volthawk,Patricia Jackson,18,Hero,2008-12-08,A mercenary with a strict personal code of honor.
132,Ultrastrike,Joseph Thomas,9,Villain,2011-10-13,The last survivor of a destroyed civilization seeking justice.
133,Quantumlance,Lisa Davis,3,Villain,1979-08-27,"Once a villain, now fighting for the side of good."
134,Acidblade,Maria Taylor,16,Hero,1959-01-24,"Master of the arcane arts, wielder of forbidden knowledge."
135,Ironhunter,Nancy White,19,Antihero,1951-11-12,A mercenary with a strict personal code of honor.
136,Neobolt,Michael Johnson,12,Hero,1977-11-23,"Gifted with powers beyond comprehension, burdened by their weight."
137,Solarblade,,12,Villain,1995-11-07,The last survivor of a destroyed civilization seeking justice.
138,Hyperhunter,Sarah Harris,3,Villain,1995-07-28,"Driven by tragedy, defined by an unbreakable will."
139,Thunderfire,,19,Hero,2012-06-12,"Master of the arcane arts, wielder of forbidden knowledge."
140,Shadowveil,Patricia Anderson,5,Antihero,1991-06-21,A vigilante who operates outside the law to protect the innocent.
141,Voidfist,,18,Hero,1953-08-27,A former soldier seeking redemption through heroic deeds.
142,Ultrafist,Patricia Robinson,11,Hero,1961-10-22,A vigilante who operates outside the law to protect the innocent.
143,Omegablade,Karen Harris,12,Villain,1947-10-14,"Raised in secret, now unleashed upon a world unprepared."
144,Omegafire,,2,Antihero,2019-07-12,"Master of the arcane arts, wielder of forbidden knowledge."
145,Titanhunter,Sarah Martin,15,Hero,1945-04-01,The last survivor of a destroyed civilization seeking justice.
146,Quantumfist,Michael Lewis,19,Villain,1967-03-05,A mercenary with a strict personal code of honor.
147,Omegawave,Sarah Young,7,Villain,2017-09-03,"Gifted with powers beyond comprehension, burdened by their weight."
148,Acidstorm,,13,Villain,1946-07-13,The last survivor of a destroyed civilization seeking justice.
149,Voidforce,,16,Hero,2012-08-15,A former soldier seeking redemption through heroic deeds.
150,Ironlance,Nancy Young,11,Villain,1974-11-09,The last survivor of a destroyed civilization seeking justice.
151,Neonwave,Sarah Robinson,17,Hero,1996-12-01,"Raised in secret, now unleashed upon a world unprepared."
152,Blazeblade,Nancy Thomas,4,Antihero,1989-07-04,"Gifted with powers beyond comprehension, burdened by their weight."
153,Acidlance,,20,Villain,1995-08-29,"Master of the arcane arts, wielder of forbidden knowledge."
154,Neonstorm,Linda Jones,19,Villain,1944-03-30,A cosmic entity whose motives remain ambiguous to all.
155,Omegastar,Joseph Anderson,6,Hero,2002-09-27,The last survivor of a destroyed civilization seeking justice.
156,Megawoman,Lisa Johnson,3,Hero,1997-05-21,A mercenary with a strict personal code of honor.
157,Titanwave,Michael Miller,17,Hero,1976-07-27,A former soldier seeking redemption through heroic deeds.
158,Neonveil,Barbara Johnson,8,Hero,1991-10-08,A vigilante who operates outside the law to protect the innocent.
159,Ultrastar,Robert Jones,9,Hero,1948-10-06,A vigilante who operates outside the law to protect the innocent.
160,Titanmind,Richard Young,8,Villain,2012-10-06,The last survivor of a destroyed civilization seeking justice.
161,Megahunter,,2,Villain,1979-04-01,A former soldier seeking redemption through heroic deeds.
162,Thunderveil,Richard White,10,Hero,1939-11-15,The last survivor of a destroyed civilization seeking justice.
163,Steelwave,Susan Williams,14,Antihero,1959-10-30,A mercenary with a strict personal code of honor.
164,Plasmahunter,Richard Taylor,11,Hero,2007-11-25,A cosmic entity whose motives remain ambiguous to all.
165,Neoarrow,Susan Thomas,5,Hero,1951-02-20,"Once a villain, now fighting for the side of good."
166,Shadowwing,David Garcia,16,Villain,1988-07-29,"Driven by tragedy, defined by an unbreakable will."
167,Voltveil,Lisa Anderson,11,Hero,1944-02-16,"Raised in secret, now unleashed upon a world unprepared."
168,Voltshield,,19,Hero,1983-07-08,A former soldier seeking redemption through heroic deeds.
169,Hyperforce,,3,Villain,2014-09-25,A former soldier seeking redemption through heroic deeds.
170,Quantumwave,Joseph Robinson,18,Neutral,2004-04-16,A vigilante who operates outside the law to protect the innocent.
171,Omegafist,,15,Hero,2018-08-31,The last survivor of a destroyed civilization seeking justice.
172,Steelwoman,Joseph Harris,17,Villain,1952-03-29,The last survivor of a destroyed civilization seeking justice.
173,Frostmind,,20,Hero,1994-08-07,The last survivor of a destroyed civilization seeking justice.
174,Ironstorm,John Thomas,10,Neutral,2000-08-30,A mercenary with a strict personal code of honor.
175,Ironwave,David Taylor,18,Hero,2009-01-09,The last survivor of a destroyed civilization seeking justice.
176,Ironarrow,Jessica Thompson,12,Hero,1965-09-16,A cosmic entity whose motives remain ambiguous to all.
177,Titanstar,John Jones,3,Hero,2008-09-15,A former soldier seeking redemption through heroic deeds.
178,Omegalance,,17,Hero,1968-03-19,"Driven by tragedy, defined by an unbreakable will."
179,Frostfist,Lisa Garcia,15,Hero,1970-09-07,"Gifted with powers beyond comprehension, burdened by their weight."
180,Voltwave,Joseph Davis,18,Hero,2010-07-18,"Raised in secret, now unleashed upon a world unprepared."
181,Shadowforce,Charles Harris,15,Antihero,2007-10-23,A mercenary with a strict personal code of honor.
182,Omegaarrow,Linda Miller,20,Hero,1960-06-06,A vigilante who operates outside the law to protect the innocent.
183,Titanforce,Sarah Thompson,4,Hero,2006-06-18,A cosmic entity whose motives remain ambiguous to all.
184,Voidclaw,,5,Antihero,1946-03-25,"Gifted with powers beyond comprehension, burdened by their weight."
185,Ultramind,Thomas Thomas,8,Hero,1945-04-28,The last survivor of a destroyed civilization seeking justice.
186,Blazeman,Sarah Anderson,5,Hero,1963-09-27,"Raised in secret, now unleashed upon a world unprepared."
187,Ironbolt,James Williams,1,Hero,2012-11-28,A cosmic entity whose motives remain ambiguous to all.
188,Neoshield,Sarah Johnson,8,Villain,2009-03-23,"Driven by tragedy, defined by an unbreakable will."
189,Ultraarrow,John Taylor,14,Hero,1969-08-27,"Gifted with powers beyond comprehension, burdened by their weight."
190,Plasmamind,David Thompson,12,Hero,1985-03-12,"Master of the arcane arts, wielder of forbidden knowledge."
191,Solarstrike,Susan Williams,12,Hero,1996-12-13,A former soldier seeking redemption through heroic deeds.
192,Plasmastorm,Susan Young,11,Antihero,1953-09-16,"Raised in secret, now unleashed upon a world unprepared."
193,Titanwing,,3,Antihero,2022-08-28,"Raised in secret, now unleashed upon a world unprepared."
194,Hypershield,Robert Johnson,11,Neutral,1984-03-28,A mercenary with a strict personal code of honor.
195,Alphabolt,Robert Taylor,12,Antihero,1942-04-16,The last survivor of a destroyed civilization seeking justice.
196,Voidblade,,14,Antihero,2004-09-07,"Raised in secret, now unleashed upon a world unprepared."
197,Steelbolt,Susan Thompson,9,Antihero,2003-03-26,A mercenary with a strict personal code of honor.
198,Acidwing,Susan Harris,2,Antihero,2019-10-14,The last survivor of a destroyed civilization seeking justice.
199,Quantummind,Maria Williams,13,Hero,2009-11-14,A cosmic entity whose motives remain ambiguous to all.
200,Hyperfist,Susan Thomas,13,Neutral,1940-11-27,"Driven by tragedy, defined by an unbreakable will."
201,Plasmafist,Richard Anderson,9,Hero,1948-03-06,A vigilante who operates outside the law to protect the innocent.
202,Alphablade,Michael Harris,7,Neutral,1963-08-15,"Raised in secret, now unleashed upon a world unprepared."
203,Shadowblade,David Harris,6,Antihero,1977-12-07,A former soldier seeking redemption through heroic deeds.
204,Thunderforce,Nancy Young,10,Antihero,2014-05-19,A cosmic entity whose motives remain ambiguous to all.
205,Steelforce,Sarah Miller,5,Hero,1982-04-28,A vigilante who operates outside the law to protect the innocent.
206,Solarlance,Joseph Young,5,Villain,1945-09-26,A former soldier seeking redemption through heroic deeds.
207,Acidmind,,3,Hero,1966-06-11,A former soldier seeking redemption through heroic deeds.
208,Voltclaw,Susan Jones,18,Villain,1954-04-29,A cosmic entity whose motives remain ambiguous to all.
209,Acidarrow,,2,Antihero,1984-06-25,A cosmic entity whose motives remain ambiguous to all.
210,Neonwing,Patricia Thomas,17,Antihero,2013-11-22,A former soldier seeking redemption through heroic deeds.
211,Voidstar,Nancy Wilson,5,Villain,1993-02-14,"Master of the arcane arts, wielder of forbidden knowledge."
212,Steelveil,,5,Hero,1994-01-09,"Driven by tragedy, defined by an unbreakable will."
213,Acidwave,Karen Young,10,Villain,1965-02-07,"Raised in secret, now unleashed upon a world unprepared."
214,Blazehunter,David Johnson,6,Villain,1981-06-11,"Raised in secret, now unleashed upon a world unprepared."
215,Solarhunter,Susan Thompson,18,Hero,1959-09-09,"Raised in secret, now unleashed upon a world unprepared."
216,Neostrike,John Brown,2,Hero,1972-06-18,"Driven by tragedy, defined by an unbreakable will."
217,Acidfire,,6,Antihero,2021-10-09,"Driven by tragedy, defined by an unbreakable will."
218,Omegaclaw,Barbara Martin,1,Hero,1973-04-12,"Master of the arcane arts, wielder of forbidden knowledge."
219,Voltfire,Susan Johnson,2,Hero,1991-08-10,"Raised in secret, now unleashed upon a world unprepared."
220,Neonlance,Sarah White,5,Antihero,2003-04-08,The last survivor of a destroyed civilization seeking justice.
221,Neonhawk,Joseph Young,9,Antihero,1993-11-30,"Driven by tragedy, defined by an unbreakable will."
222,Neofist,,13,Hero,1968-06-03,"Master of the arcane arts, wielder of forbidden knowledge."
223,Solarfist,Thomas Jackson,17,Hero,1941-06-29,A cosmic entity whose motives remain ambiguous to all.
224,Thunderbolt,John Lewis,17,Hero,2021-07-23,"Driven by tragedy, defined by an unbreakable will."
225,Thunderwing,Lisa Taylor,19,Hero,2012-04-23,"Master of the arcane arts, wielder of forbidden knowledge."
226,Solarstorm,Jessica Robinson,10,Antihero,2003-01-27,A vigilante who operates outside the law to protect the innocent.
227,Voidveil,Maria Robinson,16,Hero,1994-06-07,"Driven by tragedy, defined by an unbreakable will."
228,Blazewoman,Sarah Miller,1,Villain,1975-07-28,A cosmic entity whose motives remain ambiguous to all.
229,Acidstar,Lisa Martin,2,Antihero,1984-07-14,"Gifted with powers beyond comprehension, burdened by their weight."
230,Alphastorm,,16,Villain,1966-02-24,A cosmic entity whose motives remain ambiguous to all.
231,Voltlance,Susan Wilson,20,Villain,2023-11-21,"Gifted with powers beyond comprehension, burdened by their weight."
232,Voidlance,Barbara Taylor,7,Villain,1981-11-14,The last survivor of a destroyed civilization seeking justice.
233,Alphastrike,Charles Young,13,Antihero,1973-05-25,The last survivor of a destroyed civilization seeking justice.
234,Ironshield,David Thomas,15,Villain,2005-01-17,"Raised in secret, now unleashed upon a world unprepared."
235,Ironblade,Charles Davis,8,Hero,2019-03-18,"Master of the arcane arts, wielder of forbidden knowledge."
236,Blazefire,Jessica Anderson,16,Hero,2007-02-24,A cosmic entity whose motives remain ambiguous to all.
237,Ultralance,,6,Villain,2021-11-20,"Raised in secret, now unleashed upon a world unprepared."
238,Neonwoman,,3,Villain,1958-11-01,"Master of the arcane arts, wielder of forbidden knowledge."
239,Hyperwing,Linda Johnson,13,Antihero,1954-09-19,"Once a villain, now fighting for the side of good."
240,Quantumblade,,11,Hero,1995-07-15,"Master of the arcane arts, wielder of forbidden knowledge."
241,Steelman,Barbara Robinson,7,Hero,2014-10-23,A mercenary with a strict personal code of honor.
242,Thunderhawk,Sarah Garcia,5,Villain,2021-12-16,"Gifted with powers beyond comprehension, burdened by their weight."
243,Frostfire,Michael Anderson,10,Villain,1989-05-25,A vigilante who operates outside the law to protect the innocent.
244,Neoclaw,Richard Thompson,10,Villain,1995-04-21,"Once a villain, now fighting for the side of good."
245,Solarwave,John Martin,5,Villain,1992-05-05,The last survivor of a destroyed civilization seeking justice.
246,Shadowfire,Lisa Williams,17,Villain,2001-02-20,The last survivor of a destroyed civilization seeking justice.
247,Neowoman,,17,Hero,1986-02-23,A cosmic entity whose motives remain ambiguous to all.
248,Steelstorm,,15,Hero,1956-06-05,"Driven by tragedy, defined by an unbreakable will."
249,Hyperclaw,Jessica Harris,19,Hero,1979-06-26,"Once a villain, now fighting for the side of good."
250,Acidforce,Nancy Johnson,3,Neutral,1980-05-08,A vigilante who operates outside the law to protect the innocent.
251,Neonmind,John White,12,Neutral,1972-04-25,"Raised in secret, now unleashed upon a world unprepared."
252,Frosthunter,Nancy Jones,12,Hero,1986-03-14,A mercenary with a strict personal code of honor.
253,Ultrashield,Nancy White,18,Hero,1958-08-09,"Gifted with powers beyond comprehension, burdened by their weight."
254,Hypermind,James Davis,7,Hero,1991-04-15,A vigilante who operates outside the law to protect the innocent.
255,Hyperfire,Richard Harris,8,Villain,2005-09-05,A vigilante who operates outside the law to protect the innocent.
256,Acidshield,Nancy Robinson,6,Villain,1976-04-29,"Master of the arcane arts, wielder of forbidden knowledge."
257,Titanwoman,,13,Antihero,1966-08-06,A mercenary with a strict personal code of honor.
258,Acidfist,Linda Young,16,Hero,1958-03-21,"Once a villain, now fighting for the side of good."
259,Hyperlance,Jessica Young,17,Hero,1959-10-15,"Once a villain, now fighting for the side of good."
260,Solarhawk,Robert Johnson,9,Hero,1992-04-10,"Driven by tragedy, defined by an unbreakable will."
261,Hyperhawk,Charles Young,7,Villain,2016-01-02,The last survivor of a destroyed civilization seeking justice.
262,Neonman,Robert Brown,16,Neutral,2000-05-29,"Driven by tragedy, defined by an unbreakable will."
263,Shadowhunter,,18,Hero,1963-05-25,A mercenary with a strict personal code of honor.
264,Voltblade,,16,Antihero,1966-09-24,"Gifted with powers beyond comprehension, burdened by their weight."
265,Plasmafire,James Wilson,18,Neutral,1989-12-16,A mercenary with a strict personal code of honor.
266,Titanbolt,Susan Garcia,5,Antihero,1981-10-23,A cosmic entity whose motives remain ambiguous to all.
267,Alphawoman,David Johnson,1,Villain,2013-08-03,"Gifted with powers beyond comprehension, burdened by their weight."
268,Megafist,Thomas Harris,12,Hero,1995-03-20,"Driven by tragedy, defined by an unbreakable will."
269,Ultraman,Jessica Smith,1,Villain,1962-08-25,"Master of the arcane arts, wielder of forbidden knowledge."
270,Steelblade,,17,Hero,1955-03-22,"Driven by tragedy, defined by an unbreakable will."
271,Omegastrike,,9,Antihero,1945-02-02,The last survivor of a destroyed civilization seeking justice.
272,Frostclaw,Patricia Taylor,3,Villain,2014-12-30,A vigilante who operates outside the law to protect the innocent.
273,Titanstrike,David Wilson,18,Villain,1940-12-14,A cosmic entity whose motives remain ambiguous to all.
274,Blazeveil,,13,Villain,1986-07-01,The last survivor of a destroyed civilization seeking justice.
275,Solarwoman,Patricia Williams,11,Villain,1993-01-27,"Driven by tragedy, defined by an unbreakable will."
276,Voltbolt,Nancy Jackson,14,Hero,1990-07-24,A mercenary with a strict personal code of honor.
277,Megaman,,15,Hero,1962-03-15,A former soldier seeking redemption through heroic deeds.
278,Alphaarrow,James Williams,12,Villain,1991-07-22,"Driven by tragedy, defined by an unbreakable will."
279,Thunderhunter,Jessica Jackson,3,Antihero,1988-03-13,"Gifted with powers beyond comprehension, burdened by their weight."
280,Plasmaarrow,Richard Garcia,5,Hero,1962-01-30,"Raised in secret, now unleashed upon a world unprepared."
281,Neonbolt,,12,Hero,1960-02-15,"Raised in secret, now unleashed upon a world unprepared."
282,Shadowclaw,Barbara Smith,13,Hero,1993-08-22,A mercenary with a strict personal code of honor.
283,Thunderclaw,Lisa Jones,10,Hero,2022-12-26,"Gifted with powers beyond comprehension, burdened by their weight."
