arc_id,title,publisher_id,start_date,end_date,description
130,Birth of Chaos,8,1965-07-05,1966-04-18,Decades of secrets come to a head in this explosive arc.
131,Rise of the Storm,6,1948-09-22,1950-04-23,The villain wins — and the heroes must live with the consequences.
132,Rise of the Architect,17,1962-10-22,1964-07-16,The last stand — not everyone will make it out alive.
133,Rise of Eternity,6,1958-05-30,1959-07-03,"A quiet, character-driven arc exploring loss and identity."
134,Final the Remnant,2,1949-05-10,1950-03-16,A universe-spanning event that reshapes the status quo forever.
135,Age of the Architect,19,1947-03-16,1947-04-27,"A quiet, character-driven arc exploring loss and identity."
136,Birth of the Storm,9,1954-07-17,1954-10-07,"The definitive origin story, told for the first time in full."
137,Infinite the Sentinel,5,1994-06-21,1994-09-13,Heroes from across time must unite against an impossible threat.
138,Escape from Eternity,4,1945-08-23,1946-06-03,A crossover event that touched every title in the line.
139,End of the Divide,8,1991-06-25,1993-04-18,A crossover event that touched every title in the line.
140,Dawn of the Titan,10,2019-07-04,2020-10-29,The last stand — not everyone will make it out alive.
141,End of Eternity,2,1989-01-05,1990-11-01,The last stand — not everyone will make it out alive.
142,Dark Judgment,9,1994-02-12,1994-10-16,Decades of secrets come to a head in this explosive arc.
143,Fall of the Fallen,3,1953-08-05,1955-03-23,Heroes from across time must unite against an impossible threat.
144,Final the Abyss,16,1978-06-02,1980-03-01,"A quiet, character-driven arc exploring loss and identity."
145,Escape from Judgment,18,1976-02-21,1976-07-17,The villain wins — and the heroes must live with the consequences.
146,Age of Chaos,3,2012-02-29,2012-08-22,A universe-spanning event that reshapes the status quo forever.
147,Fall of Eternity,10,1991-05-21,1993-01-22,"The definitive origin story, told for the first time in full."
148,Dark the Titan,13,1999-10-14,2000-09-19,"A quiet, character-driven arc exploring loss and identity."
149,Trial of the Remnant,3,1982-04-20,1983-08-11,The last stand — not everyone will make it out alive.
150,Secret the Abyss,20,2003-11-25,2004-11-19,"A quiet, character-driven arc exploring loss and identity."
151,Escape from Heroes,9,2006-08-11,2008-07-29,The last stand — not everyone will make it out alive.
152,Secret Reckoning,15,1980-03-18,1981-09-30,"A quiet, character-driven arc exploring loss and identity."
153,Fall of the Sentinel,16,1977-02-08,1978-12-20,Decades of secrets come to a head in this explosive arc.
154,Siege of Vengeance,11,1974-08-20,1975-08-26,Decades of secrets come to a head in this explosive arc.
155,End of the Architect,13,1963-11-10,1965-10-18,A crossover event that touched every title in the line.
156,Secret the Titan,9,1945-11-25,1946-11-12,"The first domino falls, setting off a chain of catastrophic events."
157,Hunt for the Titan,7,1975-01-28,1975-04-23,A crossover event that touched every title in the line.
158,Secret Judgment,5,1961-12-16,1963-07-31,"A quiet, character-driven arc exploring loss and identity."
159,Birth of the Architect,20,1948-11-22,1949-01-20,The villain wins — and the heroes must live with the consequences.
160,Hunt for the Abyss,4,1946-05-13,1947-01-28,"The definitive origin story, told for the first time in full."
161,Siege of Eternity,14,1983-08-27,1984-07-01,"The definitive origin story, told for the first time in full."
162,Siege of the Fallen,5,1978-12-24,1980-08-09,An intimate two-character story with massive implications.
163,Rise of the Divide,3,1983-08-07,1984-01-23,"A quiet, character-driven arc exploring loss and identity."
164,End of the Storm,9,2008-09-01,2010-03-04,A universe-spanning event that reshapes the status quo forever.
165,Siege of the Phoenix,16,1978-01-23,1979-08-27,"The first domino falls, setting off a chain of catastrophic events."
166,Hunt for Destiny,7,1978-11-07,1979-11-01,The villain wins — and the heroes must live with the consequences.
167,Escape from Destiny,2,1958-12-15,1960-03-09,"The first domino falls, setting off a chain of catastrophic events."
168,Dawn of the Phoenix,5,1982-06-09,1982-08-15,A crossover event that touched every title in the line.
169,Escape from the Storm,15,2016-01-10,2016-05-21,Decades of secrets come to a head in this explosive arc.
170,Trial of the Titan,14,1939-05-18,1939-11-11,Heroes from across time must unite against an impossible threat.
171,Infinite the Architect,11,2008-02-12,2008-12-09,The last stand — not everyone will make it out alive.
172,Dawn of the Cosmos,18,2014-06-01,2015-06-02,An intimate two-character story with massive implications.
173,Curse of the Architect,2,2016-04-07,2017-11-12,The last stand — not everyone will make it out alive.
174,Return of the Fallen,14,2004-12-30,2005-05-01,Decades of secrets come to a head in this explosive arc.
175,Final Shadows,10,1967-02-07,1967-05-05,"The first domino falls, setting off a chain of catastrophic events."
176,Trial of the Abyss,6,1988-10-09,1990-10-07,Heroes from across time must unite against an impossible threat.
177,Fall of the Cosmos,20,1992-09-05,1993-10-31,The villain wins — and the heroes must live with the consequences.
178,Siege of the Sentinel,15,1950-11-03,1951-07-28,"A quiet, character-driven arc exploring loss and identity."
179,Final the Titan,18,2018-11-07,2019-09-27,Heroes from across time must unite against an impossible threat.
180,Infinite the Titan,10,1969-01-01,1970-09-24,An intimate two-character story with massive implications.
181,Dark the Fallen,12,1972-03-19,1973-11-24,The last stand — not everyone will make it out alive.
182,Death of Heroes,20,1988-10-09,1988-12-28,"The definitive origin story, told for the first time in full."
183,Wrath of Vengeance,7,1957-08-25,1959-07-07,The last stand — not everyone will make it out alive.
184,Dark Shadows,2,1965-09-19,1967-01-13,The last stand — not everyone will make it out alive.
185,Legacy of the Phoenix,11,1946-02-01,1946-12-30,An intimate two-character story with massive implications.
186,Fall of Judgment,12,1949-11-09,1951-06-14,A crossover event that touched every title in the line.
187,Trial of Chaos,9,2012-07-03,2013-01-17,"The definitive origin story, told for the first time in full."
188,Return of the Storm,15,2010-02-25,2010-07-22,Decades of secrets come to a head in this explosive arc.
189,Dawn of the Remnant,13,1970-10-25,1971-02-24,A universe-spanning event that reshapes the status quo forever.
190,Legacy of Chaos,12,1990-06-11,1991-08-05,Decades of secrets come to a head in this explosive arc.
191,Final the Divide,11,2017-04-30,2018-12-25,The last stand — not everyone will make it out alive.
192,Birth of Eternity,4,1996-03-31,1997-06-22,Heroes from across time must unite against an impossible threat.
193,Secret Shadows,4,1965-04-22,1966-10-08,Decades of secrets come to a head in this explosive arc.
194,War of the Remnant,15,1950-03-04,1951-05-05,"The first domino falls, setting off a chain of catastrophic events."
195,Escape from the Phoenix,4,2017-06-08,2018-09-05,"The definitive origin story, told for the first time in full."
196,Wrath of the Abyss,12,1963-02-05,1963-04-09,The villain wins — and the heroes must live with the consequences.
197,Birth of the Titan,4,1959-03-08,1960-04-12,"The first domino falls, setting off a chain of catastrophic events."
198,Hunt for Vengeance,9,1943-06-08,1944-08-18,The villain wins — and the heroes must live with the consequences.
199,Infinite Judgment,20,1995-07-28,1997-06-11,A universe-spanning event that reshapes the status quo forever.
200,Secret the Storm,19,1959-11-08,1960-04-14,The villain wins — and the heroes must live with the consequences.
